,asprin-1.2.0-dse-100-vguide_pguide_rdm-n1,asprin-1.2.0-dse-100-rnd-n1,asprin-1.2.0-dse-100-pguide-n1,asprin-1.2.0-dse-100-nosave-n1,asprin-1.2.0-dse-100-n1,asprin-1.2.0-dse-100-dissimilarityPositive-n1,asprin-1.2.0-dse-100-dissimilarityAllE-n1,asprin-1.2.0-dse-100-dynamic-n1,asprin-1.2.0-dse-100-dissimilarityAll-n1,asprin-1.2.0-dse-100-dissimilarityPositiveE-n1,asprin-1.2.0-dse-100-vguide_pguide-n1
2,411.63333333333333,218.23333333333332,282.66666666666669,260.46666666666664,260.46666666666664,608.4666666666667,605.10000000000002,283.66666666666669,410.96666666666664,605.10000000000002,411.63333333333333
3,435.13333333333333,236.56666666666666,314.16666666666669,288.10000000000002,288.10000000000002,674.39999999999998,635.66666666666663,311.53333333333336,426.80000000000001,635.66666666666663,434.89999999999998
4,462.19999999999999,254.56666666666666,338.23333333333335,307.56666666666666,307.56666666666666,734.76666666666665,662.5,336.73333333333335,441.19999999999999,662.5,459.43333333333334
5,515.83333333333337,267.60000000000002,359.33333333333331,333.03333333333336,333.03333333333336,809.13333333333333,692.70000000000005,361.53333333333336,458.69999999999999,692.70000000000005,512.10000000000002
6,540.36666666666667,282.36666666666667,381.89999999999998,355.63333333333333,355.63333333333333,904.4666666666667,716.79999999999995,381.53333333333336,478.80000000000001,716.79999999999995,537.89999999999998
7,715.83333333333337,298.96666666666664,403.03333333333336,377.89999999999998,377.89999999999998,995.0333333333333,740.9666666666667,404.86666666666667,496.56666666666666,740.9666666666667,713.0
8,793.36666666666667,314.96666666666664,425.43333333333334,395.80000000000001,395.80000000000001,1081.3666666666666,764.20000000000005,429.03333333333336,519.60000000000002,764.20000000000005,790.39999999999998
9,1043.5999999999999,328.69999999999999,444.69999999999999,410.36666666666667,410.36666666666667,1170.4666666666667,790.86666666666667,450.36666666666667,546.86666666666667,790.86666666666667,1040.6333333333334
10,1991.3666666666666,344.76666666666665,466.73333333333335,437.5,437.5,1295.2666666666667,832.79999999999995,473.60000000000002,567.9666666666667,832.79999999999995,1987.9000000000001
11,2262.7333333333331,358.30000000000001,487.89999999999998,456.39999999999998,456.39999999999998,1385.5999999999999,854.73333333333335,496.26666666666665,584.20000000000005,854.73333333333335,2258.6333333333332
12,2807.6666666666665,371.76666666666665,505.66666666666669,475.06666666666666,475.06666666666666,1613.5333333333333,882.73333333333335,524.60000000000002,599.76666666666665,882.73333333333335,2804.3333333333335
13,2898.3333333333335,383.03333333333336,521.89999999999998,486.83333333333331,486.83333333333331,1726.8666666666666,909.86666666666667,547.63333333333333,615.66666666666663,909.86666666666667,2894.8333333333335
14,3109.3666666666668,395.10000000000002,544.36666666666667,498.39999999999998,498.39999999999998,1855.9333333333334,940.06666666666672,567.83333333333337,632.06666666666672,940.06666666666672,3107.2666666666669
15,3257.1999999999998,409.33333333333331,559.16666666666663,520.10000000000002,520.10000000000002,1944.4000000000001,977.63333333333333,589.23333333333335,651.60000000000002,977.63333333333333,3255.3333333333335
16,3336.3333333333335,424.23333333333335,576.23333333333335,534.66666666666663,534.66666666666663,2058.8666666666668,1009.0333333333333,609.83333333333337,667.60000000000002,1009.0333333333333,3336.6999999999998
17,3562.9666666666667,437.16666666666669,592.20000000000005,554.13333333333333,554.13333333333333,2229.4666666666667,1036.9666666666667,629.79999999999995,684.13333333333333,1036.9666666666667,3563.9000000000001
18,3709.6999999999998,449.43333333333334,610.70000000000005,567.79999999999995,567.79999999999995,2356.1333333333332,1063.8666666666666,649.5333333333333,706.79999999999995,1063.8666666666666,3711.0666666666666
19,4238.4666666666662,460.56666666666666,626.93333333333328,582.39999999999998,582.39999999999998,2460.8333333333335,1087.8,669.0,721.23333333333335,1087.8,4239.6333333333332
20,5018.666666666667,474.69999999999999,641.79999999999995,605.5333333333333,605.5333333333333,2578.2666666666669,1119.4666666666667,689.43333333333328,750.76666666666665,1119.4666666666667,5020.9333333333334
21,5045.4333333333334,488.06666666666666,656.06666666666672,619.56666666666672,619.56666666666672,2637.9333333333334,1151.5999999999999,710.70000000000005,768.66666666666663,1151.5999999999999,5047.6999999999998
22,5342.2666666666664,504.06666666666666,678.93333333333328,639.33333333333337,639.33333333333337,2721.4333333333334,1182.2666666666667,733.60000000000002,788.0,1182.2666666666667,5345.166666666667
23,5533.5666666666666,515.23333333333335,697.20000000000005,651.13333333333333,651.13333333333333,2807.2666666666669,1210.2333333333333,751.16666666666663,812.60000000000002,1210.2333333333333,5537.0333333333338
24,5616.9666666666662,529.89999999999998,715.43333333333328,662.36666666666667,662.36666666666667,2906.5666666666666,1243.3333333333333,776.60000000000002,831.83333333333337,1243.3333333333333,5620.3000000000002
25,5967.6333333333332,543.16666666666663,732.9666666666667,674.60000000000002,674.60000000000002,2985.0999999999999,1271.2,798.73333333333335,846.70000000000005,1271.2,5972.333333333333
26,6035.3000000000002,554.26666666666665,758.26666666666665,692.9666666666667,692.9666666666667,3080.0666666666666,1302.8,821.13333333333333,861.66666666666663,1302.8,6040.1999999999998
27,6064.6000000000004,564.36666666666667,776.0,707.93333333333328,707.93333333333328,3137.6333333333332,1332.5333333333333,861.60000000000002,883.60000000000002,1332.5333333333333,6070.8666666666668
28,6136.333333333333,578.36666666666667,793.93333333333328,721.20000000000005,721.20000000000005,3193.9000000000001,1365.8333333333333,883.33333333333337,898.5333333333333,1365.8333333333333,6142.1999999999998
29,7144.6999999999998,593.4666666666667,807.60000000000002,736.9666666666667,736.9666666666667,3280.3000000000002,1394.5,903.66666666666663,921.26666666666665,1394.5,7150.3999999999996
30,10940.4,608.79999999999995,824.16666666666663,749.20000000000005,749.20000000000005,3385.9666666666667,1421.6666666666667,923.16666666666663,938.39999999999998,1421.6666666666667,10945.700000000001
31,11201.633333333333,621.29999999999995,839.5333333333333,762.0,762.0,3457.4000000000001,1448.8333333333333,943.9666666666667,955.4666666666667,1448.8333333333333,11206.333333333334
32,11851.0,636.06666666666672,862.26666666666665,779.66666666666663,779.66666666666663,3519.7333333333331,1473.9666666666667,964.83333333333337,969.0333333333333,1473.9666666666667,11855.266666666666
33,11901.466666666667,652.76666666666665,878.26666666666665,791.29999999999995,791.29999999999995,3594.8333333333335,1508.3666666666666,986.9666666666667,983.43333333333328,1508.3666666666666,11905.866666666667
34,12219.1,664.70000000000005,894.33333333333337,803.4666666666667,803.4666666666667,3650.2333333333331,1534.8,1007.1333333333333,995.5,1534.8,12224.133333333333
35,13125.6,676.5,910.60000000000002,823.0333333333333,823.0333333333333,3700.3333333333335,1561.4333333333334,1028.6666666666667,1011.7333333333333,1561.4333333333334,13130.933333333332
36,13236.4,690.5,927.13333333333333,834.0,834.0,3790.0,1589.9333333333334,1048.5999999999999,1024.5666666666666,1589.9333333333334,13241.833333333334
37,13331.200000000001,709.13333333333333,942.43333333333328,847.76666666666665,847.76666666666665,3861.1999999999998,1622.6333333333334,1063.7,1042.3666666666666,1622.6333333333334,13336.833333333334
38,13803.233333333334,721.43333333333328,957.36666666666667,857.9666666666667,857.9666666666667,3933.3000000000002,1656.5666666666666,1089.3333333333333,1055.3,1656.5666666666666,13808.700000000001
39,15635.233333333334,734.43333333333328,969.83333333333337,869.39999999999998,869.39999999999998,3993.7333333333331,1682.4000000000001,1112.3,1076.6666666666667,1682.4000000000001,15640.200000000001
40,16061.666666666666,746.76666666666665,996.33333333333337,886.73333333333335,886.73333333333335,4070.4000000000001,1711.4000000000001,1132.0666666666666,1092.2666666666667,1711.4000000000001,16065.966666666667
41,16222.1,759.56666666666672,1013.8,900.26666666666665,900.26666666666665,4148.6999999999998,1741.7333333333333,1149.8333333333333,1108.7,1741.7333333333333,16225.866666666667
42,16258.1,771.20000000000005,1029.4666666666667,912.76666666666665,912.76666666666665,4221.5666666666666,1772.0999999999999,1170.3,1124.9333333333334,1772.0999999999999,16261.933333333332
