,asprin-1.2.0-decision-100-rnd-n1,asprin-1.2.0-decision-100-dissimilarityPositive-n1,asprin-1.2.0-decision-100-n1,asprin-1.2.0-decision-100-dissimilarityAll-n1,asprin-1.2.0-decision-100-dissimilarityAllE-n1,asprin-1.2.0-decision-100-dynamic-n1,asprin-1.2.0-decision-100-nosave-n1,asprin-1.2.0-decision-100-pguide-n1,asprin-1.2.0-decision-100-dissimilarityPositiveE-n1
2,0.80087799999999998,15.729609499999999,4.8132679999999999,1.800727,13.758407999999999,1.6337520000000001,4.9592470000000004,1.662747,13.416960999999999
3,3.1535199999999999,15.7331085,7.6418379999999999,5.3741830000000004,13.7954025,6.500013,7.8568069999999999,6.6229930000000001,13.4529555
4,5.572152,15.736108000000002,10.158455,5.532159,13.879889499999999,7.1539140000000003,10.643383999999999,7.2858929999999997,13.534443000000001
5,7.0099340000000003,15.739606999999999,11.806205,7.803814,14.069861,11.446261,12.622083999999999,11.637231,13.716915
6,9.6335359999999994,15.742606500000001,12.754061,12.266135999999999,14.168346000000001,12.70407,13.760910000000001,12.917036,13.811401
7,10.231445000000001,15.746606,13.321975,27.021892999999999,14.275329500000002,15.677618000000001,14.439807,15.946574999999999,13.913885499999999
8,11.802206,15.750605499999999,16.354514000000002,28.351690999999999,14.326321999999999,22.087644000000001,18.095251000000001,22.476582000000001,13.962377999999999
9,13.48695,15.754105000000001,18.133244000000001,29.224557999999998,14.551287499999999,22.425592000000002,20.245923000000001,22.821529999999999,14.173346
10,14.66677,15.758104000000001,21.749694999999999,31.536207000000001,14.593280999999999,23.689399999999999,24.60726,24.110334000000002,14.213340000000001
11,14.950727000000001,15.762603499999999,24.633257,31.899152000000001,14.901234000000001,33.428919,28.085730999999999,34.041823999999998,14.509295
12,17.979265999999999,15.767103000000001,26.159025,33.592894000000001,14.935728500000002,35.352626000000001,29.927451000000001,35.995527000000003,14.5417895
13,24.110334000000002,15.772101999999999,32.50506,36.316479999999999,14.969224000000001,41.061759000000002,37.597284999999999,41.808642999999996,14.573285
14,25.425134,15.776600999999999,33.105969000000002,36.535446999999998,15.125700500000001,41.240732000000001,38.328173,41.991615000000003,14.723761999999999
15,26.167020999999998,15.781600000000001,42.424553000000003,36.922387999999998,15.4931445,42.270575999999998,49.626455999999997,43.047454000000002,15.080207999999999
16,34.503753000000003,15.786099500000001,47.919718000000003,40.105904000000002,15.600129000000001,43.095450999999997,56.420423,43.890326000000002,15.1826925
17,34.921689999999998,15.791598499999999,55.198611999999997,46.939864999999998,15.702113499999999,46.201979000000001,65.467048000000005,47.069842000000001,15.279177499999999
18,36.713417,15.7970975,60.884746999999997,47.989705999999998,16.697462000000002,48.225672000000003,72.372998999999993,49.147525999999999,16.235032499999999
19,36.792405000000002,15.8025965,66.131949000000006,48.331654,17.254877,52.125078999999999,78.732033000000001,53.165914999999998,16.772950999999999
20,45.337105999999999,15.808595499999999,72.594965999999999,53.029940000000003,17.363860500000001,63.457355999999997,86.565842000000004,64.711161000000004,16.873435999999998
21,57.363278000000001,15.814095,75.860468999999995,65.163094999999998,17.688310999999999,73.861773999999997,90.507242000000005,75.093582999999995,17.178889999999999
22,58.310133999999998,15.820094000000001,89.899334999999994,65.523041000000006,17.843787500000001,74.309704999999994,107.473663,75.537515999999997,17.329867
23,62.262532999999998,15.826093,91.850037999999998,70.379301999999996,17.953771,74.740639999999999,109.81030800000001,75.964450999999997,17.435850500000001
24,67.465742000000006,15.832592,92.001014999999995,72.824931000000007,18.047756500000002,90.961174,109.99227999999999,92.601921000000004,17.5218375
25,68.477587999999997,15.839091,102.08148199999999,78.462074000000001,18.333213500000003,91.689063000000004,122.217422,93.349807999999996,17.781797999999998
26,72.098037000000005,15.84559,102.50841699999999,84.935090000000002,18.623669499999998,94.308663999999993,122.749341,96.0304,18.064755000000002
27,73.418835999999999,15.852088999999999,102.765378,87.451707999999996,18.677661499999999,96.921267,123.068293,98.715992,18.1132475
28,75.904458000000005,15.858587999999999,114.49259499999999,89.867339999999999,18.754150000000003,98.999950999999996,137.25313600000001,100.845668,18.184237
29,77.132271000000003,15.866087,118.261022,95.26052,18.962618000000003,100.539717,141.80744300000001,102.418429,18.36121
30,77.837164000000001,15.873085999999999,120.81063399999999,100.942656,19.028108,103.01034199999999,144.90397200000001,104.957043,18.418201500000002
31,78.182112000000004,15.880084999999999,122.830327,111.984978,19.1325915,103.116326,147.33960200000001,105.064026,18.507187999999999
32,78.885005000000007,15.887084,127.577606,112.213943,19.202080500000001,117.682112,153.116724,120.095741,18.571177500000001
