,asprin-1.2.0-decision-100-rnd-n1,asprin-1.2.0-decision-100-dissimilarityPositive-n1,asprin-1.2.0-decision-100-n1,asprin-1.2.0-decision-100-dissimilarityAll-n1,asprin-1.2.0-decision-100-vguide_pguide-n1,asprin-1.2.0-decision-100-dissimilarityAllE-n1,asprin-1.2.0-decision-100-dynamic-n1,asprin-1.2.0-decision-100-nosave-n1,asprin-1.2.0-decision-100-pguide-n1,asprin-1.2.0-decision-100-vguide_pguide_rdm-n1,asprin-1.2.0-decision-100-dissimilarityPositiveE-n1
2,0.0,106.66666666666667,0.0,76.333333333333329,278.66666666666669,164.0,8.0,0.0,8.0,278.66666666666669,164.0
3,0.0,199.0,0.0,171.0,535.0,205.33333333333334,11.333333333333334,0.0,11.333333333333334,535.0,205.33333333333334
4,0.0,575.0,0.0,522.0,549.33333333333337,257.0,15.333333333333334,0.0,15.333333333333334,549.33333333333337,257.0
5,0.0,930.33333333333337,0.0,622.0,577.0,293.0,18.333333333333332,0.0,18.333333333333332,577.0,293.0
6,0.0,1701.3333333333333,0.0,736.66666666666663,673.0,404.33333333333331,20.333333333333332,0.0,20.333333333333332,673.0,404.33333333333331
7,0.0,2249.3333333333335,0.0,795.0,989.0,598.33333333333337,22.333333333333332,0.0,22.333333333333332,989.0,598.33333333333337
8,0.0,4429.666666666667,0.0,811.0,1567.3333333333333,654.33333333333337,26.0,0.0,26.0,1567.3333333333333,654.33333333333337
9,0.0,4862.666666666667,0.0,864.33333333333337,1611.3333333333333,675.0,27.666666666666668,0.0,27.666666666666668,1611.3333333333333,675.0
10,0.0,5812.333333333333,0.0,897.66666666666663,1832.3333333333333,702.66666666666663,31.0,0.0,31.0,1832.3333333333333,702.66666666666663
11,0.0,7949.333333333333,0.0,996.66666666666663,2211.3333333333335,773.33333333333337,34.0,0.0,34.0,2211.3333333333335,773.33333333333337
12,0.0,8639.6666666666661,0.0,1052.3333333333333,2350.3333333333335,863.0,39.0,0.0,39.0,2350.3333333333335,863.0
13,0.0,9108.0,0.0,1074.0,2452.6666666666665,951.66666666666663,42.666666666666664,0.0,42.666666666666664,2452.6666666666665,951.66666666666663
14,0.0,10561.0,0.0,1402.3333333333333,2843.0,984.66666666666663,46.666666666666664,0.0,46.666666666666664,2843.0,984.66666666666663
15,0.0,12006.666666666666,0.0,1421.6666666666667,3122.6666666666665,1093.6666666666667,59.666666666666664,0.0,59.666666666666664,3122.6666666666665,1093.6666666666667
16,0.0,12428.333333333334,0.0,1459.0,3535.0,1131.3333333333333,63.333333333333336,0.0,63.333333333333336,3535.0,1131.3333333333333
