,asprin-1.2.0-dse-100-vguide_pguide_rdm-n1,asprin-1.2.0-dse-100-rnd-n1,asprin-1.2.0-dse-100-pguide-n1,asprin-1.2.0-dse-100-nosave-n1,asprin-1.2.0-dse-100-n1,asprin-1.2.0-dse-100-dissimilarityPositive-n1,asprin-1.2.0-dse-100-dissimilarityAllE-n1,asprin-1.2.0-dse-100-dynamic-n1,asprin-1.2.0-dse-100-dissimilarityAll-n1,asprin-1.2.0-dse-100-dissimilarityPositiveE-n1,asprin-1.2.0-dse-100-vguide_pguide-n1
2,183.86666666666667,0.0,32.666666666666664,0.0,0.0,327.96666666666664,348.96666666666664,32.43333333333333,183.19999999999999,348.96666666666664,183.86666666666667
3,207.36666666666667,0.0,44.0,0.0,0.0,385.16666666666669,364.06666666666666,41.43333333333333,199.03333333333333,364.06666666666666,207.13333333333333
4,234.43333333333334,0.0,55.43333333333333,0.0,0.0,433.13333333333333,374.39999999999998,51.899999999999999,213.43333333333334,374.39999999999998,231.66666666666666
5,288.06666666666666,0.0,62.166666666666664,0.0,0.0,504.0,387.86666666666667,56.333333333333336,230.93333333333334,387.86666666666667,284.33333333333331
6,312.60000000000002,0.0,70.266666666666666,0.0,0.0,598.93333333333328,400.39999999999998,60.299999999999997,251.03333333333333,400.39999999999998,310.13333333333333
7,488.06666666666666,0.0,76.666666666666671,0.0,0.0,689.5,416.26666666666665,68.099999999999994,268.80000000000001,416.26666666666665,485.23333333333335
8,565.60000000000002,0.0,85.766666666666666,0.0,0.0,775.83333333333337,431.46666666666664,80.666666666666671,291.83333333333331,431.46666666666664,562.63333333333333
9,815.83333333333337,0.0,91.933333333333337,0.0,0.0,864.60000000000002,450.30000000000001,90.766666666666666,319.10000000000002,450.30000000000001,812.86666666666667
10,1763.5999999999999,0.0,103.2,0.0,0.0,989.33333333333337,484.13333333333333,98.566666666666663,340.19999999999999,484.13333333333333,1760.1333333333334
11,2034.9666666666667,0.0,110.0,0.0,0.0,1079.6666666666667,499.53333333333336,108.13333333333334,356.43333333333334,499.53333333333336,2030.8666666666666
12,2579.9000000000001,0.0,117.3,0.0,0.0,1307.5999999999999,519.43333333333328,120.56666666666666,372.0,519.43333333333328,2576.5666666666666
13,2670.5666666666666,0.0,123.46666666666667,0.0,0.0,1420.9333333333334,540.23333333333335,129.13333333333333,387.89999999999998,540.23333333333335,2667.0666666666666
