,asprin-1.2.0-decision-100-rnd-n1,asprin-1.2.0-decision-100-dissimilarityPositive-n1,asprin-1.2.0-decision-100-n1,asprin-1.2.0-decision-100-dissimilarityAll-n1,asprin-1.2.0-decision-100-dissimilarityAllE-n1,asprin-1.2.0-decision-100-dynamic-n1,asprin-1.2.0-decision-100-nosave-n1,asprin-1.2.0-decision-100-pguide-n1,asprin-1.2.0-decision-100-dissimilarityPositiveE-n1
2,0.31680000000000003,0.40000000000000002,0.3392,0.3584,0.40000000000000002,0.29120000000000001,0.3392,0.29120000000000001,0.40000000000000002
3,0.2848,0.40000000000000002,0.32746666666699997,0.35199999999999998,0.385641025641,0.33600000000000002,0.32746666666699997,0.33600000000000002,0.385641025641
4,0.30559999999999998,0.40000000000000002,0.32533333333300002,0.34133333333299998,0.38511794871799998,0.31840000000000002,0.32533333333300002,0.31840000000000002,0.38511794871799998
5,0.30719999999999997,0.38032615384599999,0.31872,0.33279999999999998,0.36263999999999996,0.31744,0.31872,0.31744,0.36263999999999996
6,0.29909333333299998,0.36064410256400004,0.326826666667,0.33194666666700001,0.35601230769250003,0.31701333333300002,0.326826666667,0.31701333333300002,0.35601230769250003
7,0.31283809523799999,0.36190476190499998,0.32761904761900001,0.330057142857,0.35083663003650001,0.31664761904799998,0.32761904761900001,0.31664761904799998,0.35083663003650001
8,0.31325714285700001,0.35714285714299998,0.32285714285700001,0.323314285714,0.34038021977999999,0.316457142857,0.32285714285700001,0.316457142857,0.34038021977999999
9,0.31128888888900003,0.35026837606849998,0.32222222222199998,0.32311111111099999,0.33957606837650001,0.31955555555600001,0.32222222222199998,0.31955555555600001,0.33957606837650001
10,0.31487999999999999,0.34289504273499999,0.32163555555599999,0.32234666666700001,0.337405811966,0.31786666666699998,0.32163555555599999,0.31786666666699998,0.337405811966
11,0.313541818182,0.34227580419600001,0.32040727272699998,0.32191999999999998,0.33854209790200002,0.318952727273,0.32040727272699998,0.318952727273,0.33854209790200002
12,0.31481212121199997,0.33989277389299999,0.320290909091,0.32276363636400002,0.33694545454500002,0.31907878787900001,0.320290909091,0.31907878787900001,0.33694545454500002
13,0.31569230769200002,0.33648362919149999,0.32106666666700001,0.32361025641000002,0.3341759368835,0.31782564102600003,0.32106666666700001,0.31782564102600003,0.3341759368835
14,0.31739780219800001,0.33664040574850002,0.32309450549500002,0.32341098901100002,0.33340388841900004,0.317010989011,0.32309450549500002,0.317010989011,0.33340388841900004
15,0.31725714285700002,0.33389948717950002,0.32387047618999998,0.32222476190499999,0.3338186080585,0.31801904761900002,0.32387047618999998,0.31801904761900002,0.3338186080585
16,0.31762666666700001,0.3338892307695,0.32423999999999997,0.32098666666699999,0.33110461538449998,0.31757333333299997,0.32423999999999997,0.31757333333299997,0.33110461538449998
17,0.31724705882400001,0.33286561085950001,0.32421176470599999,0.32082352941199999,0.33019999999999999,0.31611764705899997,0.32421176470599999,0.31611764705899997,0.33019999999999999
18,0.31836862745099997,0.33246777275,0.32269803921599999,0.32083660130699998,0.32836400201150001,0.31769934640500003,0.32269803921599999,0.31769934640500003,0.32836400201150001
19,0.31801637426899998,0.33042123256849998,0.32254502924,0.32104795321599999,0.32937076023400003,0.31863391812899999,0.32254502924,0.31863391812899999,0.32937076023400003
20,0.31791157894700001,0.33005765182199998,0.322273684211,0.32234105263200002,0.32820631578949999,0.31984842105299999,0.322273684211,0.31984842105299999,0.32820631578949999
21,0.31807999999999997,0.32914432234449997,0.32147809523799997,0.32301714285700001,0.32778227106250002,0.31961904761900001,0.32147809523799997,0.31961904761900001,0.32778227106250002
22,0.31739567099600002,0.3286566766565,0.32123290043300001,0.32314458874500002,0.32794751914749998,0.319362770563,0.32123290043300001,0.319362770563,0.32794751914749998
23,0.31793833992100001,0.32709808452400002,0.32069565217399998,0.32251699604700002,0.32722505320750001,0.31953201581000001,0.32069565217399998,0.31953201581000001,0.32722505320750001
24,0.31748405797099999,0.32672329988850002,0.32070724637699999,0.32228405797100002,0.3272329988855,0.31945507246400001,0.32070724637699999,0.31945507246400001,0.3272329988855
25,0.317226666667,0.32623651282050004,0.32107733333299998,0.32188800000000001,0.32716287179500003,0.31921066666699999,0.32107733333299998,0.31921066666699999,0.32716287179500003
26,0.31785353846199998,0.3256613491125,0.320502153846,0.32191015384600002,0.326994556213,0.31968492307700003,0.320502153846,0.31968492307700003,0.326994556213
27,0.31797606837600001,0.32544291036599998,0.32103931623900001,0.32268945868900001,0.32702800788949998,0.31952592592599999,0.32103931623900001,0.31952592592599999,0.32702800788949998
